"year","genres","mean_ratings","count"
2007,"Comedy",7.00110366168128,9695
2007,"Crime",7.13834738617201,2965
2007,"Documentary",7.26605005440696,4595
2007,"Drama",7.00258317418836,9949
2007,"Family",7.06946406314915,2407
2007,"Fantasy",7.00220848056537,1132
2007,"History",7.39336016096579,994
2007,"Horror",5.73173605655931,1273
2007,"Music",6.887265917603,1068
2007,"Musical",6.83204419889503,181
2007,"Mystery",7.20828571428571,1400
2007,"Other",6.3496577946768,1315
2007,"Romance",6.80506726457399,2230
2007,"Sci-Fi",6.58195718654434,654
2007,"Short",6.93509252912954,4377
2007,"Sport",7.16264534883721,688
2007,"Talk-Show",6.61225490196078,816
2007,"Thriller",6.08840284842319,983
2007,"War",7.27389937106918,318
2008,"Action",7.059766615931,3942
2008,"Adult",6.79208074534161,644
2008,"Adventure",7.25361077111383,3268
2008,"Animation",7.2814348785872,4530
2008,"Biography",7.22503888024883,643
2008,"Comedy",6.96778673400019,10297
2008,"Crime",7.11785334750266,2823
2008,"Documentary",7.28353524229075,5448
2008,"Drama",7.02104483141904,10796
2008,"Family",6.96434443963652,2311
2008,"Fantasy",7.04183123877917,1114
2008,"History",7.43201834862385,1090
2008,"Horror",5.78365730741541,1389
2008,"Music",7.05690235690236,1188
2008,"Musical",6.70169491525424,236
2008,"Mystery",7.22365512159175,1357
2008,"Other",6.27857142857143,1526
2008,"Romance",6.73053790766624,2361
2008,"Sci-Fi",6.45805142083897,739
2008,"Short",6.94154706430569,5365
2008,"Sport",7.16213183730715,713
2008,"Talk-Show",6.29561403508772,912
2008,"Thriller",6.30162308385933,1109
2008,"War",7.30498442367601,321
2009,"Action",7.08876946698837,4559
2009,"Adult",6.59090909090909,561
2009,"Adventure",7.29895965490992,3941
2009,"Animation",7.2940310880829,4825
2009,"Biography",7.31806615776081,786
2009,"Comedy",7.02328042328042,12285
2009,"Crime",7.19427580225499,3459
2009,"Documentary",7.35274945679425,5983
2009,"Drama",7.04568675076393,12763
2009,"Family",7.14460486322188,2632
2009,"Fantasy",6.98973977695167,1345
2009,"History",7.40178837555887,1342
2009,"Horror",5.95708430913349,1708
2009,"Music",7.11989978525412,1397
2009,"Musical",7.05880149812734,267
2009,"Mystery",7.15597519729425,1774
2009,"Other",6.85713425647201,1661
2009,"Romance",6.8028980052691,2657
2009,"Sci-Fi",6.66545988258317,1022
2009,"Short",6.98163995908626,5866
2009,"Sport",7.27747875354108,706
2009,"Talk-Show",7.10334101382488,868
2009,"Thriller",6.27571860816944,1322
2009,"War",7.25963541666667,384
2010,"Action",7.1550070238812,4983
2010,"Adult",6.59077181208054,596
2010,"Adventure",7.32830235439901,4035
2010,"Animation",7.26604150039904,5012
2010,"Biography",7.23323671497585,1035
2010,"Comedy",7.04728569237847,13042
2010,"Crime",7.27063841496973,3634
2010,"Documentary",7.37231673368388,6466
2010,"Drama",7.09424686192469,13384
2010,"Family",7.23244301994302,2808
2010,"Fantasy",7.15646050214329,1633
2010,"History",7.3461752433936,1438
2010,"Horror",6.2010411502231,2017
2010,"Music",7.1245492371706,1442
2010,"Musical",6.88604651162791,258
2010,"Mystery",7.26526757607555,1906
2010,"Other",6.91695938529089,1822
2010,"Romance",6.86421261142291,3029
2010,"Sci-Fi",6.71268656716418,1072
2010,"Short",6.98585537328423,5974
2010,"Sport",7.19819915254237,944
2010,"Talk-Show",6.90959367945824,886
2010,"Thriller",6.39380764163373,1518
2010,"War",7.18229813664596,322
2011,"Action",7.1593557472276,5681
2011,"Adult",6.33112701252236,559
2011,"Adventure",7.40324647586502,4682
2011,"Animation",7.30114739629303,5665
2011,"Biography",7.26935779816514,1090
2011,"Comedy",7.12485145282403,15315
2011,"Crime",7.2869864640228,4211
2011,"Documentary",7.40298744407562,6929
2011,"Drama",7.13637967297646,14739
2011,"Family",7.27438131753224,2869
2011,"Fantasy",7.08159871244635,1864
2011,"History",7.25799863852961,1469
2011,"Horror",6.26214482126489,2182
2011,"Music",7.16367628607277,1594
2011,"Musical",7.09198606271777,287
2011,"Mystery",7.22013218098627,1967
2011,"Other",7.08853556485355,2390
2011,"Romance",6.95276785714286,3360
2011,"Sci-Fi",6.90042301184433,1182
2011,"Short",7.03160637189221,6717
2011,"Sport",7.16452004860267,823
2011,"Talk-Show",7.13511859219587,1307
2011,"Thriller",6.450207223209,1689
2011,"War",6.91093247588424,311
2012,"Action",7.21018533978961,5989
2012,"Adult",6.21360424028269,566
2012,"Adventure",7.37523886968896,4919
2012,"Animation",7.32172478793591,6366
2012,"Biography",7.41923076923077,1326
2012,"Comedy",7.17412162162162,16280
2012,"Crime",7.35005478851633,4563
2012,"Documentary",7.41403785488959,7608
2012,"Drama",7.22948065485315,16309
2012,"Family",7.12892561983471,3267
2012,"Fantasy",7.19058441558442,2156
2012,"History",7.33244296048971,1797
2012,"Horror",6.28028052805281,2424
2012,"Music",7.13871527777778,1728
2012,"Musical",7.13556338028169,284
2012,"Mystery",7.23717703349282,2090
2012,"Other",6.96544276457883,2315
2012,"Romance",7.16850767085077,3585
2012,"Sci-Fi",6.79702380952381,1344
2012,"Short",7.0574649859944,7140
